name,year,properties,nonCurrentLiabilities,currentLiabbilities,equities,fullPrice,priceNextYear
ALCHEMIA,2005,12126,520,1723,30845,9262800.0,6026400.0
ALCHEMIA,2006,12720,624,1914,37316,6026400.0,4073400.0
ALCHEMIA,2007,16086,610,2677,41013,4073400.0,618163200.0
ALCHEMIA,2008,24380,865,9160,48498,618163200.0,1168500.0
ALCHEMIA,2009,23851,1089,4068,69283,1168500.0,1159200.0
ALCHEMIA,2010,32046,1038,5461,80418,1159200.0,857700.0
ALCHEMIA,2011,35340,817,11266,94012,857700.0,140200.0
ALCHEMIA,2012,41583,738,13688,106601,140200.0,119939300.0
ALCHEMIA,2013,62308,673,14845,119491,119939300.0,911300.0
ALCHEMIA,2014,68630,687,10513,119065,911300.0,2932000.0
ALCHEMIA,2015,68095,661,7154,130446,2932000.0,313200.0
ALCHEMIA,2016,74044,751,10353,143526,313200.0,9377600.0
ALCHEMIA,2017,74142,659,9388,148860,9377600.0,25500.0
GANT,2005,12126,520,1723,30845,9262800.0,6026400.0
GANT,2006,12720,624,1914,37316,6026400.0,4073400.0
GANT,2007,16086,610,2677,41013,4073400.0,618163200.0
GANT,2008,24380,865,9160,48498,618163200.0,1168500.0
GANT,2009,23851,1089,4068,69283,1168500.0,1159200.0
GANT,2010,32046,1038,5461,80418,1159200.0,857700.0
GANT,2011,35340,817,11266,94012,857700.0,140200.0
GANT,2012,41583,738,13688,106601,140200.0,119939300.0
GANT,2013,62308,673,14845,119491,119939300.0,911300.0
GANT,2014,68630,687,10513,119065,911300.0,2932000.0
GANT,2015,68095,661,7154,130446,2932000.0,313200.0
GANT,2016,74044,751,10353,143526,313200.0,9377600.0
GANT,2017,74142,659,9388,148860,9377600.0,25500.0
SKOTAN,2005,12126,520,1723,30845,9262800.0,6026400.0
SKOTAN,2006,12720,624,1914,37316,6026400.0,4073400.0
SKOTAN,2007,16086,610,2677,41013,4073400.0,618163200.0
SKOTAN,2008,24380,865,9160,48498,618163200.0,1168500.0
SKOTAN,2009,23851,1089,4068,69283,1168500.0,1159200.0
SKOTAN,2010,32046,1038,5461,80418,1159200.0,857700.0
SKOTAN,2011,35340,817,11266,94012,857700.0,140200.0
SKOTAN,2012,41583,738,13688,106601,140200.0,119939300.0
SKOTAN,2013,62308,673,14845,119491,119939300.0,911300.0
SKOTAN,2014,68630,687,10513,119065,911300.0,2932000.0
SKOTAN,2015,68095,661,7154,130446,2932000.0,313200.0
