asd,name,year,properties,nonCurrentLiabilities,currentLiabbilities,equities,fullPrice,priceNextYear
5382,TRAVELPL,2005,12126,520,1723,30845,9262800.0,6026400.0
9763,GADUGADU,2005,12126,520,1723,30845,9262800.0,6026400.0
1605,MPECWRO,2011,35340,817,11266,94012,857700.0,140200.0
8685,HARPER,2006,12720,624,1914,37316,6026400.0,4073400.0
7953,TRANSPOL,2015,68095,661,7154,130446,2932000.0,313200.0
434,TUEUROPA,2010,32046,1038,5461,80418,1159200.0,857700.0
7521,SANTANDER,2012,41583,738,13688,106601,140200.0,119939300.0
9394,EKANCELAR,2013,62308,673,14845,119491,119939300.0,911300.0
7399,BENEFIT,2007,16086,610,2677,41013,4073400.0,618163200.0
2909,ACE,2015,68095,661,7154,130446,2932000.0,313200.0
1996,BUDIMEX,2012,41583,738,13688,106601,140200.0,119939300.0
10284,MOSTALGD,2006,12720,624,1914,37316,6026400.0,4073400.0
409,INTERIA.PL,2011,35340,817,11266,94012,857700.0,140200.0
1560,PGF,2005,12126,520,1723,30845,9262800.0,6026400.0
10420,MORLINY,2012,41583,738,13688,106601,140200.0,119939300.0
3339,NEWWORLDR,2016,74044,751,10353,143526,313200.0,9377600.0
344,PEPEES,2011,35340,817,11266,94012,857700.0,140200.0
7705,PHN,2014,68630,687,10513,119065,911300.0,2932000.0
5554,GORENJE,2008,24380,865,9160,48498,618163200.0,1168500.0
6612,MEGARON,2013,62308,673,14845,119491,119939300.0,911300.0
3255,HAWE,2010,32046,1038,5461,80418,1159200.0,857700.0
1169,PEMUG,2017,74142,659,9388,148860,9377600.0,25500.0
7743,IMPERA,2013,62308,673,14845,119491,119939300.0,911300.0
2524,WANDALEX,2007,16086,610,2677,41013,4073400.0,618163200.0
4272,STAPORKOW,2013,62308,673,14845,119491,119939300.0,911300.0
7188,PMPG,2017,74142,659,9388,148860,9377600.0,25500.0
5284,PWRMEDIA,2011,35340,817,11266,94012,857700.0,140200.0
9815,WAFAPOMP,2005,12126,520,1723,30845,9262800.0,6026400.0
10302,APEXIM,2011,35340,817,11266,94012,857700.0,140200.0
1105,POLNORD,2005,12126,520,1723,30845,9262800.0,6026400.0
9575,BICK,2012,41583,738,13688,106601,140200.0,119939300.0
3103,JWCONSTR,2014,68630,687,10513,119065,911300.0,2932000.0
9271,MSXRESOUR,2007,16086,610,2677,41013,4073400.0,618163200.0
6077,GPRE,2011,35340,817,11266,94012,857700.0,140200.0
2219,PROSPER,2014,68630,687,10513,119065,911300.0,2932000.0
4496,NTTSYSTEM,2016,74044,751,10353,143526,313200.0,9377600.0
7028,PKPCARGO,2013,62308,673,14845,119491,119939300.0,911300.0
8263,PBSFINANSE,2013,62308,673,14845,119491,119939300.0,911300.0
8236,PGO,2012,41583,738,13688,106601,140200.0,119939300.0
4979,ECARD,2005,12126,520,1723,30845,9262800.0,6026400.0
1553,ORFE,2011,35340,817,11266,94012,857700.0,140200.0
5656,CFI,2006,12720,624,1914,37316,6026400.0,4073400.0
8877,INTAKUS,2016,74044,751,10353,143526,313200.0,9377600.0
1106,POLNORD,2006,12720,624,1914,37316,6026400.0,4073400.0
3635,PRAGMAINK,2013,62308,673,14845,119491,119939300.0,911300.0
3773,AMREST,2008,24380,865,9160,48498,618163200.0,1168500.0
5231,GINOROSSI,2010,32046,1038,5461,80418,1159200.0,857700.0
7038,CIGAMES,2010,32046,1038,5461,80418,1159200.0,857700.0
7451,ATAL,2007,16086,610,2677,41013,4073400.0,618163200.0
9355,SKYSTONE,2013,62308,673,14845,119491,119939300.0,911300.0
7507,SESCOM,2011,35340,817,11266,94012,857700.0,140200.0
346,PEPEES,2013,62308,673,14845,119491,119939300.0,911300.0
6682,BBIDEV,2005,12126,520,1723,30845,9262800.0,6026400.0
7693,LIBET,2015,68095,661,7154,130446,2932000.0,313200.0
9806,MOSTALSDL,2009,23851,1089,4068,69283,1168500.0,1159200.0
8773,IDEABANK,2016,74044,751,10353,143526,313200.0,9377600.0
10709,POLMOSLBN,2015,68095,661,7154,130446,2932000.0,313200.0
8406,EKOEXPORT,2013,62308,673,14845,119491,119939300.0,911300.0
7722,ALTA,2005,12126,520,1723,30845,9262800.0,6026400.0
2083,LDASA,2008,24380,865,9160,48498,618163200.0,1168500.0
